9/2/18 10:37 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   83781	236094	                    2186903	                      2187662	  1382	
Remaining:       	   71463	203011	                    1882933	                      1883472	  1102	
Unique:          	   82356	234535	                    2178933	                      2179689	  1382	
Unique Remaining:	   70714	202173	                    1878287	                      1878823	  1102	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
0312.txt 	            35	                 0	             35	                        0	        113	              0	         113	                     0	                             1025	                                    0	                              1025	                                           0	                               1026	                                      0	                                1026	                                             0	
0313.txt 	            32	                 0	             32	                        0	        102	              0	         102	                     0	                             1058	                                    0	                              1058	                                           0	                               1059	                                      0	                                1059	                                             0	
0314.txt 	            43	                 0	             42	                        0	        110	              0	         109	                     0	                             1025	                                    0	                              1020	                                           0	                               1025	                                      0	                                1020	                                             0	
0315.txt 	            47	                 0	             46	                        0	        107	              0	         106	                     0	                             1013	                                    0	                              1008	                                           0	                               1013	                                      0	                                1008	                                             0	
0316.txt 	            54	                 0	             54	                        0	        102	              0	         102	                     0	                             1024	                                    0	                              1024	                                           0	                               1024	                                      0	                                1024	                                             0	
0317.txt 	            50	                 0	             50	                        0	        109	              0	         109	                     0	                             1045	                                    0	                              1045	                                           0	                               1046	                                      0	                                1046	                                             0	
0318.txt 	            36	                 0	             36	                        0	        121	              0	         121	                     0	                             1073	                                    0	                              1073	                                           0	                               1074	                                      0	                                1074	                                             0	
0319.txt 	            44	                 0	             43	                        0	        128	              0	         127	                     0	                             1064	                                    0	                              1059	                                           0	                               1065	                                      0	                                1060	                                             0	
0320.txt 	            49	                 0	             49	                        0	        101	              0	         101	                     0	                             1056	                                    0	                              1056	                                           0	                               1056	                                      0	                                1056	                                             0	
0321.txt 	            52	                 0	             52	                        0	        111	              0	         111	                     0	                             1013	                                    0	                              1013	                                           0	                               1014	                                      0	                                1014	                                             0	
0322.txt 	            50	                 0	             49	                        0	        114	              0	         113	                     0	                             1019	                                    0	                              1006	                                           0	                               1020	                                      0	                                1007	                                             0	
0323.txt 	            43	                 0	             43	                        0	        117	              0	         117	                     0	                             1032	                                    0	                              1032	                                           0	                               1033	                                      0	                                1033	                                             0	
0324.txt 	            36	                 0	             36	                        0	        124	              0	         124	                     0	                             1033	                                    0	                              1033	                                           0	                               1035	                                      0	                                1035	                                             0	
0325.txt 	            39	                 0	             37	                        0	        106	              0	         104	                     0	                             1024	                                    0	                              1017	                                           0	                               1025	                                      0	                                1018	                                             0	
0326.txt 	            34	                 0	             34	                        0	        113	              0	         113	                     0	                             1014	                                    0	                              1014	                                           0	                               1015	                                      0	                                1015	                                             0	
0327.txt 	            28	                 0	             27	                        0	        105	              0	         104	                     0	                             1047	                                    0	                              1042	                                           0	                               1048	                                      0	                                1043	                                             0	
0328.txt 	            31	                 0	             31	                        0	        117	              0	         117	                     0	                             1053	                                    0	                              1053	                                           0	                               1053	                                      0	                                1053	                                             0	
0329.txt 	            32	                31	             32	                       31	        101	            100	         101	                   100	                             1017	                                 1013	                              1017	                                        1013	                               1018	                                   1014	                                1018	                                          1014	
0330.txt 	            32	                 0	             32	                        0	        103	              0	         103	                     0	                             1018	                                    0	                              1018	                                           0	                               1019	                                      0	                                1019	                                             0	
0331.txt 	            43	                 0	             42	                        0	        101	              0	         100	                     0	                             1023	                                    0	                              1018	                                           0	                               1024	                                      0	                                1019	                                             0	
0332.txt 	            38	                 0	             38	                        0	        109	              0	         109	                     0	                             1054	                                    0	                              1054	                                           0	                               1055	                                      0	                                1055	                                             0	
0333.txt 	            46	                 0	             46	                        0	        114	              0	         114	                     0	                             1036	                                    0	                              1036	                                           0	                               1037	                                      0	                                1037	                                             0	
0334.txt 	            36	                 0	             36	                        0	        115	              0	         115	                     0	                             1020	                                    0	                              1020	                                           0	                               1021	                                      0	                                1021	                                             0	
0335.txt 	            33	                 0	             33	                        0	        109	              0	         109	                     0	                             1033	                                    0	                              1033	                                           0	                               1034	                                      0	                                1034	                                             0	
0336.txt 	            38	                 1	             38	                        1	        111	              1	         111	                     1	                             1023	                                    7	                              1023	                                           7	                               1023	                                      7	                                1023	                                             7	
0337.txt 	            41	                 0	             41	                        0	        106	              0	         106	                     0	                             1027	                                    0	                              1027	                                           0	                               1029	                                      0	                                1029	                                             0	
0338.txt 	            40	                 0	             39	                        0	        122	              0	         121	                     0	                             1024	                                    0	                              1018	                                           0	                               1025	                                      0	                                1019	                                             0	
0339.txt 	            33	                 0	             33	                        0	        109	              0	         109	                     0	                             1030	                                    0	                              1030	                                           0	                               1031	                                      0	                                1031	                                             0	
0340.txt 	            45	                 0	             45	                        0	        120	              0	         120	                     0	                             1040	                                    0	                              1040	                                           0	                               1040	                                      0	                                1040	                                             0	
0341.txt 	            48	                 0	             48	                        0	        109	              0	         109	                     0	                             1011	                                    0	                              1011	                                           0	                               1012	                                      0	                                1012	                                             0	
0342.txt 	            50	                 0	             49	                        0	        120	              0	         118	                     0	                             1032	                                    0	                              1028	                                           0	                               1032	                                      0	                                1028	                                             0	
0343.txt 	            47	                 0	             46	                        0	         97	              0	          96	                     0	                             1024	                                    0	                              1020	                                           0	                               1025	                                      0	                                1021	                                             0	
0344.txt 	            39	                 0	             37	                        0	         99	              0	          97	                     0	                             1031	                                    0	                              1019	                                           0	                               1032	                                      0	                                1020	                                             0	
0345.txt 	            47	                 0	             47	                        0	        131	              0	         131	                     0	                             1015	                                    0	                              1015	                                           0	                               1016	                                      0	                                1016	                                             0	
0346.txt 	            41	                 0	             39	                        0	        114	              0	         112	                     0	                             1017	                                    0	                              1008	                                           0	                               1017	                                      0	                                1008	                                             0	
0347.txt 	            48	                 0	             47	                        0	        112	              0	         111	                     0	                             1081	                                    0	                              1076	                                           0	                               1081	                                      0	                                1076	                                             0	
0348.txt 	            57	                 0	             56	                        0	        120	              0	         118	                     0	                             1022	                                    0	                              1016	                                           0	                               1022	                                      0	                                1016	                                             0	
